,name,old price,curr price
0,"Молоко ДОМИК В ДЕРЕВНЕ стерилизованное 3,2%, 950 г БЗМЖ",99.89,59.9
1,Филе цыпленка-бройлера без кожи охлажденное подложка ЯСНЫЕ...,99.89,59.9
2,"Белый город Молоко ультрапастеризованное 3,2%, 1л БЗМЖ",99.89,59.9
3,"Перец красный, весовой",99.89,59.9
4,"Масло сливочное ЭКОМИЛК 82,5%, 450г БЗМЖ",99.89,59.9
5,"Молоко ПРОСТОКВАШИНО пастеризованное 2,5% 0,93л",99.89,59.9
6,"Авокадо, 1 кг",99.89,59.9
7,Aqua Minerale Вода столовая/питьевая негазированная 5л,99.89,59.9
8,"Творог ПРОСТОКВАШИНО 2%, 220г",99.89,59.9
9,"Салат Айсберг, весовой",99.89,59.9
10,Голень с кожей ПЕТЕЛИНКА,99.89,59.9
11,Масло подсолнечное с добавлением оливкового ALTERO Golden...,99.89,59.9
12,Zewa Бумага туалетная бумага двухслойная Plus Сирень 8 руло...,99.89,59.9
13,Фарш говяжий МИРАТОРГ,99.89,59.9
14,Сельдерей стебли,99.89,59.9
15,"Офисная бумага SVETOCOPY A4, 80г/м2",99.89,59.9
16,"Мандарины, 1 кг",99.89,59.9
17,S.Pellegrino Вода минеральная столовая/питьевая газированна...,99.89,59.9
18,"Баклажаны грунтовые, весовые",99.89,59.9
19,"Кукуруза HEINZ сладкая, 340 г",99.89,59.9
20,"Сыр Моцарелла GALBANI, 125г БЗМЖ",99.89,59.9
21,"Цуккини, весовое",99.89,59.9
22,"Печенье ЮБИЛЕЙНОЕ Традиционное, 313г",99.89,59.9
23,Филе бедра цыпленка-бройлера без кожи охлажденное Петелинка,99.89,59.9
24,"Томаты Черри Дольче Вита, 250 г",99.89,59.9
25,"Ritter SPORT Шоколад молочный Лесной орех, 100г",99.89,59.9
26,"Минеральная вода AСQUA PANNA, 1л",99.89,59.9
27,Сок Добрый яблоко 1л,99.89,59.9
28,"Ritter SPORT Шоколад молочный Ром изюм орех, 100г",99.89,59.9
29,Heinz Фасоль белая в томатном соусе 415г,99.89,59.9
30,Кукуруза Bonduelle молодая 170 г,77.9,79.0
31,"Ritter SPORT Шоколад темный Марципан, 100г",77.9,79.0
32,"Heinz Кетчуп томатный классический, 350г",77.9,79.0
33,"Даниссимо Фантазия с хрустящими шоколадными шариками, 105г",77.9,79.0
34,Тушка цыпленка-бройлера пакфир охлажденная ЯСНЫЕ ЗОРИ,77.9,79.0
35,"Масло сливочное ЭКОМИЛК Традиционное 82,5%, 450г БЗМЖ",77.9,79.0
36,Крылышко цыпленка-бройлера целое ПЕТЕЛИНКА,77.9,79.0
37,"Креветки POLAR варено-мороженые 70/90, 1 кг",77.9,79.0
38,"Ritter SPORT Шоколад молочный Карамельный мусс, 100г",77.9,79.0
39,Heinz Фасоль красная 400г,77.9,79.0
40,IBERICA Маслины без косточки Mini 300г,77.9,79.0
41,"Газированный напиток Coca-Cola 1,5л",77.9,79.0
42,"Хлопья овсяные КЛИН Экстра, 1кг",77.9,79.0
43,"Сливки PARMALAT стерилизованные 23%, 500 г БЗМЖ",77.9,79.0
44,"Ritter SPORT Шоколад молочный с кокосовой начинкой, 100г",77.9,79.0
45,Zewa Plus Бумага туалетная двухслойная Plus Яблоко 8 рулоно...,77.9,79.0
46,"Творог ПРОСТОКВАШИНО мягкий 5%, 130 г",77.9,79.0
47,"Сосиски Сливочные КЛИНСКИЙ МК, 470г",77.9,79.0
48,Ребрышки барбекю ОСТАНКИНО крупные куски охлажденные вакуум...,77.9,79.0
49,Филе грудки индейки замороженное вакуумная упаковка ПАВА ПА...,77.9,79.0
50,"Смесь овощная VИТАМИН Испанская в соусе Ривейра, 400г",77.9,79.0
51,"Газированный напиток Coca-Cola без сахара 1,5л",77.9,79.0
52,Ambassador Кофе в зернах натуральный жареный NERO 1кг,77.9,79.0
53,"Напиток энергетический ADRENALINE RUSH, 0,449л",77.9,79.0
54,"Творог ДОМИК В ДЕРЕВНЕ 5,5% мягкий, 170г БЗМЖ",77.9,79.0
55,"Печенье BELVITA Утреннее Мед и фундук, 225г",77.9,79.0
56,"Чак ролл говяжий МИРАТОРГ, 1 кг",77.9,79.0
57,"Вода VITTEL минеральная без газа, 0,33л",77.9,79.0
58,"Сливки порционные CAMPINA 10% для кофе, 10х10 г",77.9,79.0
59,"Масло оливковое MONINI Extra Vergine Classico, 1л",77.9,79.0
60,Филе бедра индейки замороженное вакуумная упаковка ПАВА ПАВ...,264.0,674.7
61,Paulig Кофе молотый натуральный жареный Classic 250г,264.0,674.7
62,"Ребрышки свиные МИРАТОРГ деликатесные, 1 кг",264.0,674.7
63,"Гречка МИСТРАЛЬ Ядрица чистая цельная в пакетиках, 5*80г",264.0,674.7
64,"Крупа булгур МИСТРАЛЬ, 500г",264.0,674.7
65,Сок Добрый томат 1л,264.0,674.7
66,"Десерт творожный ЧУДО персик/груша 4,2%, 100г",264.0,674.7
67,Lindt Excellence Шоколад горький 85% 100г,264.0,674.7
68,"Йогурт АКТИВИА термостатный натуральный, 170г",264.0,674.7
69,"Finish Таблетки для посудомоечных машин All-in-1, 50шт",264.0,674.7
70,Бумажные полотенца PAPIA 4 рулона 3 слойная,264.0,674.7
71,"Шоколад RITTER SPORT клубника и йогурт, 100г",264.0,674.7
72,Pringles Чипсы картофельные Сметана и лук 165г,264.0,674.7
73,"Десерт творожный ЧУДО вишня-черешня 4,2%, 100г",264.0,674.7
74,"Колбаса ДЫМОВ Докторская ручная вязка, 450г",264.0,674.7
75,"Паста томатная ПОМИДОРКА стеклянная банка, 250мл",264.0,674.7
76,Даниссимо Фантазия с хрустящими ягодными шариками 105г,264.0,674.7
77,"Pringles Чипсы картофельные Паприка, 165г",264.0,674.7
78,"Десерт творожный ЧУДО вишня 4,2%, 100г",264.0,674.7
79,"Красный октябрь Конфеты шоколадные микс Мишка косолапый, Ал...",264.0,674.7
80,"Печенье ЮБИЛЕЙНОЕ Традиционное, 116г",264.0,674.7
81,"Вафли РОТ ФРОНТ Коровка, 150 г",264.0,674.7
82,"Рис МИСТРАЛЬ Янтарь, 900г",264.0,674.7
83,"Огурчики ДЯДЯ ВАНЯ маринованные, 1,8 кг",264.0,674.7
84,"Масло оливковое MONINI фильтрованное, 1 л",264.0,674.7
85,"Колбаса Докторская ВЕЛКОМ, 500г",264.0,674.7
86,"Ritter SPORT Шоколад темный Мята, 100г",264.0,674.7
87,"Пицца LA TRATTORIA Моцарелла, 335г",264.0,674.7
88,Lindt Excellence Шоколад горький 70% 100г,264.0,674.7
89,Даниссимо Фантазия с хрустящими шариками Солёная карамель 1...,264.0,674.7
90,РотФронт Конфеты Птичье молоко 500г,298.0,499.0
91,"Киноа с овощами VИТАМИН, 400г",298.0,499.0
92,Heinz Соус сырный 230г,298.0,499.0
93,Sanfor Гель для прочистки канализационных труб 750мл,298.0,499.0
94,"Стейк тунца FINE LIFE свежемороженый, 400 г",298.0,499.0
95,"Pringles Чипсы картофельные Original, 165г",298.0,499.0
96,Тема Молоко детское с 8 месяцев 500мл,298.0,499.0
97,"Творог ПРОСТОКВАШИНО 0% мягкий, 130г",298.0,499.0
98,"Масло оливковое MAESTRO DE OLIVA Extra Virgin, 0,5л",298.0,499.0
99,Шоколадница Торт вафельный с фундуком 270г,298.0,499.0
100,"Авокадо HASS, 700 г",298.0,499.0
101,"Десерт творожный ЧУДО клубника 4,2%, 100г",298.0,499.0
102,Paulig Кофе в зернах натуральный жареный Classic 250г,298.0,499.0
103,"RIOBA Капсулы для кофемашин Cremoso, 11x5г",298.0,499.0
104,Kleenex Бумага туалетная влажная 42л,298.0,499.0
105,"Пицца LA TRATTORIA Ассорти, 335г",298.0,499.0
106,"Творог ДОМИК В ДЕРЕВНЕ Мягкий 0,1%, 200г БЗМЖ",298.0,499.0
107,Domestos Средство чистящее универсальное Свежесть Атлантики...,298.0,499.0
108,"Филе сельди САНТА БРЕМОР Матиас оригинал, 500 г",298.0,499.0
109,Консервы Perfect Fit Sterile для кастрированных котов и сте...,298.0,499.0
110,"Сыр Бри PRESIDENT мягкий с белой плесенью 60%, 200 г БЗМЖ",298.0,499.0
111,Пельмени ГОРДОСТЬ СИБИРИ ЦЕЗАРЬ 800 г,298.0,499.0
112,"Бекон Венгерский ДЫМОВ сырокопченый, 500 г",298.0,499.0
113,"Десерт творожный ЧУДО персик-маракуйя 4,2%, 100г",298.0,499.0
114,"Сок ФРУТОНЯНЯ яблоко осветленный, 500г",298.0,499.0
115,"Горошек молодой BONDUELLE, 212г",298.0,499.0
116,"Майонез MR. RICCO Organic на перепелином яйце 67%, 800мл",298.0,499.0
117,"Мука экстра ФРАНЦУЗСКАЯ ШТУЧКА, 2кг",298.0,499.0
118,"Десерт творожный ЧУДО черника 4,2%, 100г",298.0,499.0
119,"Филе тунца натуральное МАГУРО, 200г",298.0,499.0
120,"Шоколад БАБАЕВСКИЙ со сливочной начинкой, 50г",40.0,39.9
121,"Корм для кошек GOURMET Мини-филе с курицей, 85г ^",40.0,39.9
122,"Томаты черри МОЕ ЛЕТО Sunrise сливовидные, 250 г",40.0,39.9
123,ПЕМОЛЮКС Порошок чистящий Сода 5 Экстра Антибактериальный...,40.0,39.9
124,Elza Цикорий растворимый гранулированный 100г,40.0,39.9
125,"Рис МИСТРАЛЬ Ориент белый длиннозерный, 900 г",40.0,39.9
126,"Тide Порошок стиральный автомат Color, 4,5кг",40.0,39.9
127,Морс Добрый брусника морошка 1л,40.0,39.9
128,"Маслины MAESTRO DE OLIVA без косточек, 280г",40.0,39.9
129,Гранола хрустящая мюсли KELLOGG'S Extra с орехами фруктами...,40.0,39.9
130,"Порошок стиральный PERSIL Expert Color, 4,5кг",40.0,39.9
131,"Майонез MR. RICCO Organic оливковый 67%, 800мл",40.0,39.9
132,"Киноа МИСТРАЛЬ, 500 г",40.0,39.9
133,Консервы Perfect Fit Sterile для кастрированных котов и сте...,40.0,39.9
134,"Пюре GERBER чернослив, 80г",40.0,39.9
135,Нектар Добрый апельсин 1л,40.0,39.9
136,"Шоколад молочный TOBLERONE, 100г",40.0,39.9
137,"Рис басмати МИСТРАЛЬ, 500г",40.0,39.9
138,Ambassador Кофе зерновой натуральный жареный Platinum 1кг,40.0,39.9
139,"Вода детская АГУША, 5 л",40.0,39.9
140,"Багет французский ЕВРОПЕЙСКИЙ ХЛЕБ, 230г * 2шт",40.0,39.9
141,CARTE NOIRE Кофе растворимый сублимированный Original 150г,40.0,39.9
142,"Кондиционер для белья VERNEL детский, 1,82л",40.0,39.9
143,"Газированный напиток НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ Байкал, 2л",40.0,39.9
144,Purina ONE Корм сухой корм для стерилизованных кошек и кото...,40.0,39.9
145,Простоквашино Глазированный сырок Варёная сгущенка 40г 20% ,40.0,39.9
146,"Бисквит БАРНИ вареная сгущенка, 150 г",40.0,39.9
147,Heinz Соус кисло-сладкий 230г,40.0,39.9
148,"Корм для кошек FRISKIES с говядиной, 85 г ^",40.0,39.9
149,"Бисквит БАРНИ с шоколадной начинкой, 150г",40.0,39.9
